user,intent_num
어떤 종류의 메뉴를 제공하나요?,0
어떤 종류의 메뉴를 판매중인가요,0
메뉴 카테고리 알려줘,0
메뉴 카테고리 리스트 불러줘,0
메뉴는 어떤 종류 팔아,0
메뉴 카테고리 뭐 있어,0
어떤 종류의 메뉴를 판매하고 있나요,0
메뉴 카테고리 뭐 있어?,0
메뉴 리스트 알려줘,0
세트 메뉴 뭐 있어,0
메뉴 뭐 있어,0
뭐파는지 알려줄래?,0
메뉴 알려줘,0
메뉴 알려줄래요?,0
어떤 종류의 메뉴를 제공하고 있어?,0
메뉴 알려줄 수 있어?,0
뭐 파는 지 알려줄 수 있어?,0
메뉴 카테고리를 알 수 있을까?,0
메뉴 뭐팔아?,0
가게 메뉴 좀 알려줄래,0
지금 가장 인기 있는 메뉴가 무엇인가요?,1
가장 잘나가는 메뉴가 뭐야?,1
제일 잘 팔리는 메뉴 알려줘,1
인기 메뉴 뭐 있어?,1
제일 잘 팔리는 메뉴 알려줘,1
제일 많이 시키는 메뉴 알려줘,1
가장 인기 있는 메뉴 말해줄래?,1
가장 최근에 나온 메뉴가 무엇인가요?,1
신메뉴 알려줘,1
신메뉴 뭐 있어?,1
최근에 나온 메뉴 알려줄 수 있니?,1
요즘 새로 나온 메뉴 있어?,1
최근에 나온 메뉴가 뭐야?,1
나온지 얼마 안된 메뉴 알려줄래?,1
추천 메뉴는 무엇인가요?,1
먹을만한 메뉴 알려줘,1
추천 메뉴 있어?,1
메뉴 추천좀 해줄래,1
너가 추천하는 메뉴가 뭐야?,1
메뉴를 추천해줄 수 있니?,1
너가 생각할 때 괜찮은 메뉴 알려줘,1
겨울 특선 메뉴는 어떤 것들이 있나요?,2
겨울 특선 메뉴 있어?,2
겨울에만 판매하는 메뉴 있나요?,2
겨울 특선 메뉴는 뭐 있는지 알려줄래?,2
겨울 특선 메뉴 알려줘,2
겨울에 파는 메뉴 있니?,2
겨울 특선 메뉴는 어떤게 있는지 알려줘,2
여름 특선 메뉴는 어떤 것들이 있나요?,2
여름 특선 메뉴 있어?,2
여름에만 판매하는 메뉴 있나요?,2
여름 특선 메뉴는 뭐 있는지 알려줄래?,2
여름 특선 메뉴 알려줘,2
여름에 파는 메뉴가 있나요?,2
여름 특선 메뉴는 어떤게 있는지 알려줄래?,2
프로모션 메뉴는 어떤 것들이 있나요?,2
콜라보 이벤트 중인 메뉴 있나요?,2
프로모션 진행중인 메뉴 있나요?,2
프로모션 메뉴 뭐 있어?,2
이벤트 메뉴 있나요?,2
지금 진행중인 이벤트가 적용되는 메뉴 있나요?,2
콜라보 이벤트 메뉴 있지?,2
포장 주문도 가능한가요?,3
포장 가능한가요?,3
테이크 아웃 가능한가요?,3
싸가는거 돼?,3
