user,intent_num
매장의 휴무일은 언제인가요?,18
휴무일이 정해져 있나요?,18
가게가 언제 쉬나요?,18
매장은 언제 쉬나요?,18
매장 쉬는 날은 언제인가요?,18
매주 쉬는 요일이 있나요?,18
이번 주 영업 일정은 어떻게 되나요?,18
정기적으로 쉬는 날이 있나요?,18
다음 주 휴무일이 언제인지 알려주세요.,18
정기 휴무 날짜 확인 부탁드립니다.,18
정기 휴일이 정해져 있나요?,18
정기 휴무일 확인하고 싶어요.,18
정기적인 휴무 요일은요?,18
정기 휴일은 언제입니까?,18
정기 휴무 요일을 확인하고 싶어요.,18
정기적으로 쉬는 요일은 언제인가요?,18
정기적으로 문 닫는 날은?,18
정기 휴무 날짜가 정해져 있나요?,18
가게 문닫는 날이 있나요?,18
매장 안 여는 날이 있나요?,18
매장 쉬는 날 언제야?,18
정기 휴무 언제야?,18
주마다 쉬는 때가 언제야?,18
주마다 가게 쉬나요?,18
매 주 가게 쉬는 날이 있나요?,18
매 주 매장 영업 쉬는 때가 있나요?,18
매주 언제 쉬나요?,18
쉬는 날이 언제예요?,18
가게 안하는 날 알려줄래?,18
가게 안하는 때가 언제야?,18
매장 휴무일 알려줘,18
방문하기 전에 휴무일을 알 수 있나요?,18
방문하기 전에 알아야 할 휴무일을 알려줘,18
가게 휴무일 알려줘,18
휴무일은 어떻게 되나요?,18
정확한 휴무일을 알 수 있나요?,18
쉬는 날이 정확히 언제야?,18
영업일이 어떻게 되나요?,18
영업일 알려줘,18
휴무일 언제인가요?,18
주말에 영업 하나요?,19
평일에 영업 하나요?,19
주말에도 영업 하나요?,19
평일에도 영업 하나요?,19
주말 둘 중 영업 하는 때가 있나요?,19
주말 중에 영업 하나요?,19
주말에 영업 하나요? 영업 하면 몇시부터 해요?,19
주말에 언제 영업해?,19
공휴일에 영업 하나요?,19
이번 주말에 영업 하나요?,19
이번 주말에 영업 해?,19
빨간날에 영업 해?,19
빨간 날에도 가게 여나요?,19
공휴일에 가게 여는지 알 수 있나요?,19
다음 주에 영업하나요?,19
그럼 다음 주에 영업해?,19
다음 주에도 영업하는지 알려줄래요?,19
주말에도 정상 영업하나요?,19
주말에는 쉬나요?,19
주말에 가도 매장이 열려 있나요?,19
주말 영업은 특정 시간대에만 하나요?,19
"공휴일, 주말에 영업 하나요?",19
"공휴일, 주말에 쉬나요?",19
주말에 영업하는지 말해줘봐,19
공휴일에 영업하는지 말해봐,19
주말에는 가게 쉬니?,19
주말에는 가게 쉬는지 알려줄래?,19
주말에는 매장 열어?,19
주말에 매장 쉬나요?,19
