user,intent_num
어떤 종류의 메뉴를 제공하나요?,0
어떤 종류의 메뉴를 판매중인가요,0
메뉴 카테고리 알려줘,0
메뉴 카테고리 리스트 불러줘,0
메뉴는 어떤 종류 팔아,0
메뉴 카테고리 뭐 있어,0
어떤 종류의 메뉴를 판매하고 있나요,0
메뉴 카테고리 뭐 있어?,0
메뉴 리스트 알려줘,0
세트 메뉴 뭐 있어,0
메뉴 뭐 있어,0
뭐파는지 알려줄래?,0
메뉴 알려줘,0
메뉴 알려줄래요?,0
어떤 종류의 메뉴를 제공하고 있어?,0
메뉴 알려줄 수 있어?,0
뭐 파는 지 알려줄 수 있어?,0
메뉴 카테고리를 알 수 있을까?,0
메뉴 뭐팔아?,0
가게 메뉴 좀 알려줄래,0
판매하는 음식 종류 알려 주세요.,0
전체 메뉴 목록 볼 수 있나요?,0
이 가게에서 주문할 수 있는 음식은 뭐예요?,0
음식 종류 좀 설명해 주세요.,0
가게에서 제공하는 음식은 어떤 것들이 있나요?,0
제공하는 요리 목록 알려 주세요.,0
음식 선택지는 어떻게 되나요?,0
현재 판매 중인 음식이 궁금합니다.,0
주문할 수 있는 요리는 어떤 게 있나요?,0
이곳에서 식사 가능한 음식은 뭐예요?,0
주문 가능한 음식 목록 알려 주세요.,0
메뉴 구성이 어떻게 되나요?,0
이 가게에서 팔고 있는 음식은 어떤 게 있나요?,0
식사 메뉴 선택지를 알고 싶어요.,0
음식 종류 좀 더 자세히 알려 주세요.,0
현재 제공하는 요리 목록 볼 수 있나요?,0
판매 중인 음식 메뉴 설명 부탁드려요.,0
가게에서 파는 모든 음식 종류를 알려 주세요.,0
판매 중인 요리 종류가 어떻게 되나요?,0
음식 선택지는 뭐가 있나요?,0
이곳에서 제공하는 음식 목록이 궁금해요.,0
현재 판매하고 있는 음식 종류가 어떻게 되나요?,0
메뉴판에 있는 모든 요리를 알려 주세요.,0
제공되는 음식 종류를 볼 수 있나요?,0
가게에서 팔고 있는 요리 종류가 궁금합니다.,0
이곳에서 제공하는 음식은 무엇인가요?,0
판매하고 있는 모든 요리를 보고 싶습니다.,0
현재 판매 중인 음식 목록을 알려 주세요.,0
주문 가능한 음식이 어떤 게 있나요?,0
가게에서 주문할 수 있는 모든 메뉴가 궁금합니다.,0
제공하는 모든 음식 종류를 알려 주세요.,0
판매하는 요리 종류가 어떻게 되나요?,0
가게에서 어떤 음식을 팔고 있는지 알고 싶어요.,0
제공되는 요리 목록을 확인하고 싶어요.,0
이곳에서 주문 가능한 음식은 어떤 것들이 있나요?,0
제공하는 음식 종류를 자세히 알려 주세요.,0
음식 메뉴 구성이 어떻게 되는지 궁금합니다.,0
현재 판매 중인 모든 음식을 확인하고 싶습니다.,0
