user,intent_num
어떤 종류의 메뉴를 제공하나요?,0
어떤 종류의 메뉴를 판매중인가요,0
메뉴 카테고리 알려줘,0
메뉴 카테고리 리스트 불러줘,0
메뉴는 어떤 종류 팔아,0
메뉴 카테고리 뭐 있어,0
어떤 종류의 메뉴를 판매하고 있나요,0
메뉴 카테고리 뭐 있어?,0
메뉴 리스트 알려줘,0
세트 메뉴 뭐 있어,0
메뉴 뭐 있어,0
뭐파는지 알려줄래?,0
메뉴 알려줘,0
메뉴 알려줄래요?,0
어떤 종류의 메뉴를 제공하고 있어?,0
메뉴 알려줄 수 있어?,0
뭐 파는 지 알려줄 수 있어?,0
메뉴 카테고리를 알 수 있을까?,0
메뉴 뭐팔아?,0
가게 메뉴 좀 알려줄래,0
지금 가장 인기 있는 메뉴가 무엇인가요?,1
가장 잘나가는 메뉴가 뭐야?,1
제일 잘 팔리는 메뉴 알려줘,1
인기 메뉴 뭐 있어?,1
제일 잘 팔리는 메뉴 알려줘,1
제일 많이 시키는 메뉴 알려줘,1
가장 인기 있는 메뉴 말해줄래?,1
추천 메뉴는 무엇인가요?,1
먹을만한 메뉴 알려줘,1
추천 메뉴 있어?,1
메뉴 추천좀 해줄래,1
이 가게에서 뭐가 제일 인기 많아요?,1
추천 메뉴 좀 알려주세요!,1
대표 메뉴는 어떤 게 있나요?,1
여기서 제일 잘 나가는 음식이 뭐예요?,1
"오늘 뭐 먹을지 고민인데, 메뉴 좀 추천해주세요.",1
가장 인기 있는 메뉴는 뭐예요?,1
특별히 추천해주고 싶은 메뉴가 있나요?,1
인기 메뉴나 베스트셀러 알려주세요.,1
여기서 사람들이 많이 시키는 음식이 뭐예요?,1
너가 추천하는 메뉴가 뭐야?,1
메뉴를 추천해줄 수 있니?,1
인기 있는 메뉴 하나만 추천해 주세요.,1
사람들이 많이 시키는 메뉴는 어떤 건가요?,1
요즘 가장 많이 팔리는 메뉴는 뭐예요?,1
대표 메뉴를 알려주세요.,1
추천 메뉴 중에 제일 맛있는 건 뭐죠?,1
요즘 인기 있는 대표 메뉴가 궁금해요.,1
베스트셀러 메뉴를 추천해 주세요.,1
가성비 좋은 추천 메뉴 뭐가 있을까요?,1
오늘의 추천 메뉴 알려주세요.,1
사람들이 가장 많이 주문하는 메뉴가 뭔가요?,1
맛있다고 소문난 메뉴를 추천해주세요.,1
이번 주 인기 메뉴는 어떤 거예요?,1
메뉴판에 추천 메뉴는 어디서 확인하나요?,1
매장에서 추천하는 베스트 메뉴는 뭐예요?,1
지금 핫한 메뉴를 알려주세요.,1
추천 메뉴 리스트를 보여주실 수 있나요?,1
인기 메뉴 중에서 가장 저렴한 건 뭐죠?,1
대표 메뉴에 어떤 게 포함되어 있나요?,1
